Text Key	Base(en)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian  (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt-PT)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh-Hans)	Vietnamese (vi)
replay	Replay	إعادة التشغيل	Přehrát znovu	Wiederholung	Ξαναπαίζω	Repetición	Kordus	Uusinta	Rejouer	REPLAY	Memutar ulang	Rigiocare	リプレイ	ចាក់ឡើងវិញ	ಮರುಪಂದ್ಯ	다시 하다	ຫຼິ້ນຄືນ	Atskaņot vēlreiz	Main semula	Opnieuw afspelen	Powtórna rozgrywka	Repetir	Повтор	เล่นซ้ำ	Tekrar oynat	Повтор	重播	Phát lại
add_item	Add item	إضافة عنصر	Přidat položku	Artikel hinzufügen	Προσθήκη στοιχείου	Agregar artículo	Lisa üksus	Lisää kohde	Ajouter un article	मद जोड़ें	Tambahkan barang	Aggiungi elemento	アイテムの追加	បន្ថែមធាតុ	ಐಟಂ ಸೇರಿಸಿ	항목 추가	ເພີ່ມລາຍການ	Pievienot vienumu	Tambah item	Artikel toevoegen	Dodaj element	Adicionar item	Добавить элемент	เพิ่มรายการ	Öğe ekle	Додати товар	添加项目	Thêm mục
start	Start	يبدأ	Start	Start	Αρχή	Comenzar	Alusta	Aloita	Commencer	शुरू	Awal	Inizio	始める	ចាប់ផ្តើម	ಪ್ರಾರಂಭಿಸಿ	시작	ເລີ່ມ	Sākt	Mulakan	Begin	Start	Começar	Начинать	เริ่ม	Başlangıç	Почніть	开始	Bắt đầu
shock_roulette	Shock Roulette	الروليت الصدمة	Šoková ruleta	Schock-Roulette	Ρουλέτα σοκ	Ruleta de choque	Šoki rulett	Shock Ruletti	Roulette de choc	शॉक रूलेट	Roulette Kejutan	Roulette shock	ショックルーレット	រ៉ូឡែតឆក់	ಶಾಕ್ ರೂಲೆಟ್	충격 룰렛	Shock Roulette	Šoka rulete	Rolet Kejutan	Schokroulette	Szokująca ruletka	Roleta de choque	Шоковая рулетка	ช็อตรูเล็ต	Şok Rulet	Шокова рулетка	震动轮盘	Sốc Roulette
roulette	Roulette	الروليت	Ruleta	Roulette	Ρουλέτα	Ruleta	Rulett	Ruletti	Roulette	रूले	Rolet	Roulette	ルーレット	រ៉ូឡែត	ರೂಲೆಟ್	룰렛	ຮູເລັດ	Rulete	Roulette	Roulette	Ruletka	Roleta	Рулетка	รูเล็ต	Rulet	Рулетка	轮盘赌	Roulette
the_winner_is	The winner is	الفائز هو	Vítězem je	Der Gewinner ist	Ο νικητής είναι	el ganador es	Võitja on	Voittaja on	Le gagnant est	विजेता है	Pemenangnya adalah	Il vincitore è	勝者は	អ្នកឈ្នះគឺ	ವಿಜೇತರು	승자는	ຜູ້ຊະນະແມ່ນ	Uzvarētājs ir	Pemenangnya ialah	De winnaar is	Zwycięzcą jest	O vencedor é	Победитель	ผู้ชนะคือ	Kazanan	Переможець є	获胜者是	Người chiến thắng là
name	Name:	اسم:	Jméno:	Name:	Ονομα:	Nombre:	Nimi:	Nimi:	Nom:	नाम:	Nama:	Nome:	名前：	ឈ្មោះ៖	ಹೆಸರು:	이름:	ຊື່:	Vārds:	nama:	Naam:	Nazwa:	Nome:	Имя:	ชื่อ:	İsim:	Ім'я:	姓名：	Tên:
player_1	Player 1	اللاعب 1	Hráč 1	Spieler 1	Παίκτης 1	Jugador 1	Mängija 1	Pelaaja 1	Joueur 1	खिलाड़ी 1	Pemain 1	Giocatore 1	プレイヤー 1	អ្នកលេង ១	ಆಟಗಾರ 1	플레이어 1	ຜູ້ນ 1	Spēlētājs 1	Pemain 1	Speler 1	Gracz 1	Jogador 1	Игрок 1	ผู้เล่น 1	Oyuncu 1	Гравець 1	玩家1	Người chơi 1
player_2	Player 2	اللاعب 2	Hráč 2	Spieler 2	Παίκτης 2	Jugador 2	Mängija 2	Pelaaja 2	Joueur 2	खिलाड़ी 2	Pemain 2	Giocatore 2	プレイヤー2	អ្នកលេង ២	ಆಟಗಾರ 2	플레이어 2	ຜູ້ນ 2	Spēlētājs 2	Pemain 2	Speler 2	Gracz 2	Jogador 2	Игрок 2	ผู้เล่น 2	Oyuncu 2	Гравець 2	玩家2	Người chơi 2
please_enter_all_name	Please enter all name	الرجاء إدخال الاسم بالكامل	Zadejte prosím všechna jména	Bitte geben Sie alle Namen ein	Εισαγάγετε όλο το όνομα	Por favor ingrese todo el nombre	Palun sisestage kogu nimi	Anna kaikki nimet	Veuillez entrer tous les noms	कृपया सभी नाम दर्ज करें	Silakan masukkan semua nama	Inserisci tutti i nomi	全員の名前を入力してください	សូមបញ្ចូលឈ្មោះទាំងអស់។	ದಯವಿಟ್ಟು ಎಲ್ಲಾ ಹೆಸರನ್ನು ನಮೂದಿಸಿ	이름을 모두 입력해주세요	ກະລຸນາໃສ່ຊື່ທັງໝົດ	Lūdzu, ievadiet visu vārdu	Sila masukkan semua nama	Voer alle namen in	Proszę wpisać wszystkie nazwy	Por favor insira todos os nomes	Пожалуйста, введите все имя	กรุณากรอกชื่อทั้งหมด	Lütfen tüm adı girin	Введіть усі назви	请输入全部姓名	Vui lòng nhập đầy đủ tên
are_you_enjoying_our_app	Are you enjoying our app?	هل تستمتع بتطبيقنا؟	Baví vás naše aplikace?	Gefällt Ihnen unsere App?	Απολαμβάνετε την εφαρμογή μας;	¿Estás disfrutando de nuestra aplicación?	Kas teile meeldib meie rakendus?	Pidätkö sovelluksestamme?	Est-ce que vous appréciez notre application ?	क्या आप हमारे ऐप का आनंद ले रहे हैं?	Apakah Anda menikmati aplikasi kami?	Ti piace la nostra app?	私たちのアプリを楽しんでいますか？	តើអ្នករីករាយនឹងកម្មវិធីរបស់យើងទេ?	ನೀವು ನಮ್ಮ ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಆನಂದಿಸುತ್ತಿದ್ದೀರಾ?	우리 앱을 즐기고 계시나요?	ເຈົ້າມັກແອັບຂອງພວກເຮົາບໍ?	Vai jums patīk mūsu lietotne?	Adakah anda menikmati aplikasi kami?	Geniet je van onze app?	Czy podoba Ci się nasza aplikacja?	Você está gostando do nosso aplicativo?	Вам нравится наше приложение?	คุณเพลิดเพลินกับแอพของเราหรือไม่?	Uygulamamızdan memnun musunuz?	Вам подобається наш додаток?	您喜欢我们的应用程序吗？	Bạn có thích ứng dụng của chúng tôi không?
please_give_us_5_stars_if_you_like_amp_let_us_know_your_feedback	Please give us 5-stars if you like & let us know your feedback	يرجى إعطائنا 5 نجوم إذا أردت وأخبرنا بتعليقاتك	Pokud se vám líbí, dejte nám 5 hvězdiček a dejte nám vědět svůj názor	Bitte geben Sie uns 5 Sterne, wenn es Ihnen gefällt, und teilen Sie uns Ihr Feedback mit	Δώστε μας 5 αστέρια αν σας αρέσει και πείτε μας τα σχόλιά σας	Por favor danos 5 estrellas si te gusta y déjanos saber tus comentarios	Kui teile meeldib, andke meile 5 tärni ja andke meile oma tagasisidest teada	Anna meille 5 tähteä, jos pidät, ja kerro meille palautetta	Veuillez nous donner 5 étoiles si vous le souhaitez et faites-nous part de vos commentaires	यदि आपको पसंद आए तो कृपया हमें 5-स्टार दें और हमें अपनी प्रतिक्रिया बताएं	Tolong beri kami bintang 5 jika Anda suka & beri tahu kami tanggapan Anda	Per favore, dacci 5 stelle se vuoi e facci sapere il tuo feedback	よろしければ5つ星を付けていただき、フィードバックをお聞かせください	សូមផ្តល់ឱ្យយើងនូវផ្កាយ 5 ប្រសិនបើអ្នកចូលចិត្ត & អនុញ្ញាតឱ្យពួកយើងដឹងពីមតិកែលម្អរបស់អ្នក។	ನೀವು ಬಯಸಿದರೆ ದಯವಿಟ್ಟು ನಮಗೆ 5-ಸ್ಟಾರ್‌ಗಳನ್ನು ನೀಡಿ ಮತ್ತು ನಿಮ್ಮ ಪ್ರತಿಕ್ರಿಯೆಯನ್ನು ನಮಗೆ ತಿಳಿಸಿ	마음에 드신다면 별 5개를 주시고 피드백을 알려주세요.	ກະລຸນາໃຫ້ພວກເຮົາ 5 ດາວຖ້າທ່ານຕ້ອງການ & ໃຫ້ພວກເຮົາຮູ້ຄໍາຕິຊົມຂອງທ່ານ	Lūdzu, piešķiriet mums 5 zvaigznes, ja vēlaties, un dariet mums zināmas savas atsauksmes	Sila beri kami 5 bintang jika anda suka & beritahu kami maklum balas anda	Geef ons alstublieft 5 sterren en laat ons uw feedback weten	Jeśli chcesz, daj nam 5 gwiazdek i daj nam znać, co myślisz	Por favor, dê-nos 5 estrelas se quiser e deixe-nos saber seu feedback	Пожалуйста, дайте нам 5 звезд, если вам нравится, и дайте нам знать ваш отзыв	โปรดให้ 5 ดาวแก่เราหากคุณต้องการและแจ้งให้เราทราบความคิดเห็นของคุณ	İsterseniz lütfen bize 5 yıldız verin ve geri bildiriminizi bize bildirin	Будь ласка, дайте нам 5 зірок, якщо вам подобається, і повідомте нам свій відгук	如果您喜欢，请给我们 5 星并让我们知道您的反馈	Vui lòng cho chúng tôi 5 sao nếu bạn thích và cho chúng tôi biết phản hồi của bạn
btn_rate	Rate	معدل	Hodnotit	Rate	Τιμή	Tasa	Hinda	Rate	Taux	दर	Kecepatan	Valutare	レート	អត្រា	ದರ	비율	ອັດຕາ	Likme	Kadar	Tarief	Wskaźnik	Avaliar	Ставка	ประเมิน	Oran	Оцінка	速度	Đánh giá
btn_cancel	Cancel	يلغي	Zrušit	Stornieren	Ματαίωση	Cancelar	Tühista	Peruuttaa	Annuler	रद्द करना	Membatalkan	Cancellare	キャンセル	បោះបង់	ರದ್ದುಮಾಡಿ	취소	ຍົກເລີກ	Atcelt	Batal	Annuleren	Anulować	Cancelar	Отмена	ยกเลิก	İptal etmek	Скасувати	取消	Hủy bỏ
btn_feedback	Feedback	تعليق	Zpětná vazba	Rückmeldung	Ανατροφοδότηση	Comentario	Tagasiside	Palaute	Retour	प्रतिक्रिया	Masukan	Feedback	フィードバック	មតិកែលម្អ	ಪ್ರತಿಕ್ರಿಯೆ	피드백	ຄໍາຕິຊົມ	Atsauksmes	Maklum balas	Feedback	Informacja zwrotna	Opinião	Обратная связь	ข้อเสนอแนะ	Geri bildirim	Зворотній зв'язок	反馈	Nhận xét
tap_here_to_exit	Tap here to exit	اضغط هنا للخروج	Klepnutím sem odejdete	Tippen Sie hier, um den Vorgang zu beenden	Πατήστε εδώ για έξοδο	Toque aquí para salir	Väljumiseks puudutage siin	Poistu napauttamalla tätä	Appuyez ici pour quitter	बाहर निकलने के लिए यहां टैप करें	Ketuk di sini untuk keluar	Tocca qui per uscire	ここをタップして終了します	ចុចទីនេះដើម្បីចេញ	ನಿರ್ಗಮಿಸಲು ಇಲ್ಲಿ ಟ್ಯಾಪ್ ಮಾಡಿ	종료하려면 여기를 탭하세요.	ແຕະບ່ອນນີ້ເພື່ອອອກ	Pieskarieties šeit, lai izietu	Ketik di sini untuk keluar	Tik hier om af te sluiten	Kliknij tutaj, aby wyjść	Toque aqui para sair	Нажмите здесь, чтобы выйти	แตะที่นี่เพื่อออก	Çıkmak için buraya dokunun	Натисніть тут, щоб вийти	点击此处退出	Nhấn vào đây để thoát
language	Languages	اللغات	Jazyky	Sprachen	Γλώσσες	Idiomas	Keeled	Kielet	Langues	बोली	Bahasa	Lingue	言語	ភាសា	ಭಾಷೆಗಳು	언어	ພາສາ	Valodas	Bahasa	Talen	Języki	Idiomas	Языки	ภาษา	Diller	Мови	语言	Ngôn ngữ
share	Share	يشارك	Podíl	Aktie	Μερίδιο	Compartir	Jaga	Jakaa	Partager	शेयर करना	Membagikan	Condividere	共有	ចែករំលែក	ಹಂಚಿಕೊಳ್ಳಿ	공유하다	ແບ່ງປັນ	Dalīties	Kongsi	Deel	Udział	Compartilhar	Делиться	แบ่งปัน	Paylaşmak	Поділіться	分享	Chia sẻ
rate	Rate	معدل	Hodnotit	Rate	Τιμή	Tasa	Hinda	Rate	Taux	दर	Kecepatan	Valutare	レート	អត្រា	ದರ	비율	ອັດຕາ	Likme	Kadar	Tarief	Wskaźnik	Avaliar	Ставка	ประเมิน	Oran	Оцінка	速度	Đánh giá
feedback	Feedback	تعليق	Zpětná vazba	Rückmeldung	Ανατροφοδότηση	Comentario	Tagasiside	Palaute	Retour	प्रतिक्रिया	Masukan	Feedback	フィードバック	មតិកែលម្អ	ಪ್ರತಿಕ್ರಿಯೆ	피드백	ຄໍາຕິຊົມ	Atsauksmes	Maklum balas	Feedback	Informacja zwrotna	Opinião	Обратная связь	ข้อเสนอแนะ	Geri bildirim	Зворотній зв'язок	反馈	Nhận xét
privacy_policy	Privacy Policy	سياسة الخصوصية	Zásady ochrany osobních údajů	Datenschutzrichtlinie	Πολιτική Απορρήτου	política de privacidad	Privaatsuspoliitika	Tietosuojakäytäntö	politique de confidentialité	गोपनीयता नीति	Kebijakan Privasi	politica sulla riservatezza	プライバシーポリシー	គោលការណ៍ឯកជនភាព	ಗೌಪ್ಯತೆ ನೀತಿ	개인 정보 보호 정책	ນະໂຍບາຍຄວາມເປັນສ່ວນຕົວ	Privātuma politika	Dasar Privasi	Privacybeleid	Polityka prywatności	política de Privacidade	политика конфиденциальности	นโยบายความเป็นส่วนตัว	Gizlilik Politikası	Політика конфіденційності	隐私政策	Chính sách bảo mật
terms_and_conditions	Terms and Conditions	الشروط والأحكام	Smluvní podmínky	Geschäftsbedingungen	Όροι και Προϋποθέσεις	Términos y condiciones	Tingimused	Ehdot	Termes et conditions	नियम और शर्तें	syarat dan Ketentuan	Termini e Condizioni	利用規約	លក្ខខណ្ឌ	ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳು	이용약관	ຂໍ້ກໍານົດແລະເງື່ອນໄຂ	Noteikumi un nosacījumi	Terma dan Syarat	Algemene voorwaarden	Regulamin	Termos e Condições	Условия и положения	ข้อกำหนดและเงื่อนไข	Şartlar ve koşullar	Правила та умови	条款和条件	Điều khoản và Điều kiện
page_3_3	Page: 3/3	الصفحة: 3/3	Strana: 3/3	Seite: 3/3	Σελίδα: 3/3	Página: 3/3	Lehekülg: 3/3	Sivu: 3/3	Page : 3/3	पृष्ठ: 3/3	Halaman: 3/3	Pagina: 3/3	ページ: 3/3	ទំព័រ៖ ៣/៣	ಪುಟ: 3/3	페이지: 3/3	ໜ້າ: 3/3	Lapa: 3/3	Muka surat: 3/3	Pagina: 3/3	Strona: 3/3	Página: 3/3	Страница: 3/3	หน้า: 3/3	Sayfa: 3/3	Сторінка: 3/3	页数：3/3	Trang: 3/3
page_2_3	Page: 2/3	الصفحة: 2/3	Strana: 2/3	Seite: 2/3	Σελίδα: 2/3	Página: 2/3	Lehekülg: 2/3	Sivu: 2/3	Page : 2/3	पृष्ठ: 2/3	Halaman: 2/3	Pagina: 2/3	ページ: 2/3	ទំព័រ៖ ២/៣	ಪುಟ: 2/3	페이지: 2/3	ໜ້າ: 2/3	Lapa: 2/3	Muka surat: 2/3	Pagina: 2/3	Strona: 2/3	Página: 2/3	Страница: 2/3	หน้า: 2/3	Sayfa: 2/3	Сторінка: 2/3	页数：2/3	Trang: 2/3
page_1_3	Page: 1/3	الصفحة: 1/3	Strana: 1/3	Seite: 1/3	Σελίδα: 1/3	Página: 1/3	Lehekülg: 1/3	Sivu: 1/3	Page : 1/3	पृष्ठ: 1/3	Halaman: 1/3	Pagina: 1/3	ページ: 1/3	ទំព័រ៖ ១/៣	ಪುಟ: 1/3	페이지: 1/3	ໜ້າ: 1/3	Lapa: 1/3	Muka surat: 1/3	Pagina: 1/3	Strona: 1/3	Página: 1/3	Страница: 1/3	หน้า: 1/3	Sayfa: 1/3	Сторінка: 1/3	页数: 1/3	Trang: 1/3
language_arabic	Arabic	عربي	arabština	Arabisch	αραβικός	árabe	araabia keel	arabia	arabe	अरबी	Arab	arabo	アラビア語	ភាសាអារ៉ាប់	ಅರೇಬಿಕ್	아라비아 말	ອາຣັບ	arābu valoda	bahasa arab	Arabisch	arabski	árabe	арабский	ภาษาอาหรับ	Arapça	арабська	阿拉伯	Tiếng Ả Rập
language_ukrainian	Ukrainian	الأوكرانية	ukrajinština	ukrainisch	Ουκρανός	ucranio	ukrainlane	ukrainalainen	ukrainien	यूक्रेनी	Ukraina	ucraino	ウクライナ語	អ៊ុយក្រែន	ಉಕ್ರೇನಿಯನ್	우크라이나 말	ອູແກຣນ	ukraiņu	Ukraine	Oekraïens	ukraiński	ucraniano	Украинский	ภาษายูเครน	Ukrayna	українська	乌克兰	Tiếng Ukraina
language_turkish	Turkish	تركي	turečtina	Türkisch	τούρκικος	turco	türgi keel	turkkilainen	turc	तुर्की	Turki	turco	トルコ語	ទួរគី	ಟರ್ಕಿಶ್	터키어	ຕວກກີ	turku	bahasa Turki	Turks	turecki	turco	турецкий	ภาษาตุรกี	Türkçe	турецька	土耳其	Tiếng Thổ Nhĩ Kỳ
language_thai	Thai	التايلاندية	thajština	Thailändisch	Ταϊλανδός	tailandés	Tai	thaimaalainen	thaïlandais	थाई	Thai	tailandese	タイ語	ថៃ	ಥಾಯ್	태국어	ໄທ	taju	Thai	Thais	tajski	Tailandês	тайский	แบบไทย	Tay dili	тайська	泰国	Tiếng Thái
language_spanish	Spanish	الأسبانية	španělština	Spanisch	ισπανικά	Español	hispaania keel	espanja	Espagnol	स्पैनिश	Spanyol	spagnolo	スペイン語	ភាសាអេស្ប៉ាញ	ಸ್ಪ್ಯಾನಿಷ್	스페인 사람	ແອສປາໂຍນ	spāņu valoda	bahasa Sepanyol	Spaans	hiszpański	Espanhol	испанский	สเปน	İspanyol	Іспанська	西班牙语	Tiếng Tây Ban Nha
language_russian	Russian	الروسية	ruština	Russisch	ρωσικός	ruso	vene keel	venäjäksi	russe	रूसी	Rusia	russo	ロシア	រុស្សី	ರಷ್ಯನ್	러시아인	ພາສາລັດເຊຍ	krievu valoda	bahasa Rusia	Russisch	rosyjski	russo	Русский	ภาษารัสเซีย	Rusça	російська	俄语	Tiếng Nga
language_portuguese	Portuguese	البرتغالية	portugalština	Portugiesisch	Πορτογάλος	portugués	portugali keel	portugali	portugais	पुर्तगाली	Portugis	portoghese	ポルトガル語	ព័រទុយហ្គាល់	ಪೋರ್ಚುಗೀಸ್	포르투갈 인	ພາສາປອກຕຸຍການ	portugāļu	Portugis	Portugees	portugalski	Português	португальский	โปรตุเกส	Portekizce	португальська	葡萄牙语	Tiếng Bồ Đào Nha
language_polish	Polish	بولندي	polština	Polieren	Στίλβωση	Polaco	poola keel	Kiillottaa	polonais	पोलिश	Polandia	Polacco	研磨	ប៉ូឡូញ	ಪೋಲಿಷ್	광택	ໂປໂລຍ	poļu	Poland	Pools	Polski	polonês	Польский	ขัด	Lehçe	польський	抛光	Tiếng Ba Lan
language_latvian	Latvian	لاتفيا	lotyšský	lettisch	Λετονική	letón	lätlane	latvialainen	letton	लात्वीयावासी	Latvia	lettone	ラトビア語	ឡាតវី	ಲಟ್ವಿಯನ್	라트비아 사람	ລັດເວຍ	latviski	bahasa Latvia	Lets	łotewski	letão	латышский	ลัตเวีย	Letonca	латиська	拉脱维亚语	Tiếng Latvia
language_lao	Lao	لاو	Lao	Laotisch	Λάος	laosiano	Lao	Lao	Laotien	लाओ	Laos	Laotiano	ラオ語	ឡាវ	ಲಾವೊ	라오스	ພາສາລາວ	Laosa	Lao	Laos	Laotański	Laos	Лаосский	ลาว	Lao	лаоська	老挝	Tiếng Lào
language_malay	Malay	لغة الملايو	malajština	malaiisch	Μαλαισίας	malayo	malai	malaiji	malais	मलायी	Melayu	malese	マレー語	ម៉ាឡេ	ಮಲಯ	말레이 사람	ມາເລ	malajiešu	Melayu	Maleis	malajski	malaio	малайский	มาเลย์	Malayca	малайська	马来语	Tiếng Mã Lai
language_korean	Korean	كوري	korejština	Koreanisch	κορεάτης	coreano	korea keel	korealainen	coréen	कोरियाई	Korea	coreano	韓国人	កូរ៉េ	ಕೊರಿಯನ್	한국인	ເກົາຫຼີ	korejiešu	Korea	Koreaans	koreański	coreano	корейский	เกาหลี	Korece	корейська	韩国人	Tiếng Hàn
language_khmer	Khmer	الخمير	khmerské	Khmer	Χμερ	jemer	khmeerid	khmerit	Khmer	खमेर	Khmer	Khmer	クメール語	ខ្មែរ	ಖಮೇರ್	크메르어	ຂະເໝນ	khmeru	Khmer	Khmer	Khmer	Khmer	кхмерский	เขมร	Kmer	кхмерська	高棉语	Tiếng Khmer
language_kannada	Kannada	الكانادا	Kannada	Kannada	Κανάντα	canarés	kannada	kannada	Kannada	कन्नडा	Kannada	Kannada	カンナダ語	កាណាដា	ಕನ್ನಡ	칸나다어	ແຄນນາດາ	kannada	Kannada	Kanada	Kannada	Kannada	Каннада	กันนาดา	Kannadaca	каннада	卡纳达语	Tiếng Kannada
language_japanese	Japanese	اليابانية	japonský	japanisch	Ιαπωνικά	japonés	Jaapani	japanilainen	japonais	जापानी	Jepang	giapponese	日本語	ជប៉ុន	ಜಪಾನೀಸ್	일본어	ພາສາຍີ່ປຸ່ນ	japāņi	Jepun	Japanse	japoński	japonês	японский	ญี่ปุ่น	Japonca	Японський	日本人	Tiếng Nhật
language_italian	Italian	ايطالي	italština	Italienisch	ιταλικά	italiano	itaalia keel	italialainen	italien	इतालवी	Italia	Italiano	イタリア語	អ៊ីតាលី	ಇಟಾಲಿಯನ್	이탈리아 사람	ອິຕາລຽນ	itāļu valoda	Itali	Italiaans	włoski	italiano	итальянский	ภาษาอิตาลี	İtalyan	італійська	意大利语	Tiếng Ý
