Text Key	Base(en)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian  (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh)	Vietnamese (vi)
allow	Allow	يسمح	Dovolit	Erlauben	Επιτρέπω	Permitir	Lubama	Sallia	Permettre	अनुमति दें	Mengizinkan	Permettere	許可する	អនុញ្ញាត	ಅನುಮತಿಸಿ	허용하다	ອະນຸຍາດ	Atļaut	benarkan	Toestaan	Umożliwić	Permitir	Позволять	อนุญาต	İzin vermek	Дозволити	允许	Cho phép
test	Test	امتحان	Test	Prüfen	Δοκιμή	Prueba	Test	Testata	Test	परीक्षा	Tes	Test	テスト	សាកល្បង	ಪರೀಕ್ಷೆ	시험	ການທົດສອບ	Pārbaude	Ujian	Test	Test	Teste	Тест	ทดสอบ	Ölçek	Тест	测试	Bài kiểm tra
try_now	Try now	حاول الآن	Vyzkoušet	Versuch's jetzt	Προσπαθήστε τώρα	Probar ahora	Proovige nüüd	Kokeile nyt	Essayez maintenant	अब कोशिश करो	Coba sekarang	Prova ora	今すぐやってみて下さい	សាកល្បងឥឡូវនេះ	ಈಗ ಪ್ರಯತ್ನಿಸಿ	지금 사용해 보세요	ລອງດຽວນີ້	Mēģiniet tagad	Cuba sekarang	Probeer nu	Spróbuj teraz	Tente agora	Попробуй	ลองตอนนี้	Şimdi dene	Спробуємо зараз	现在试试	Thử ngay bây giờ
flash_duration	Flash duration	مدة الفلاش	Doba trvání záblesku	Blitzdauer	Διάρκεια φλας	Duración del destello	Välgu kestus	Salaman kesto	Durée du flash	फ़्लैश अवधि	Durasi kilat	Durata del flash	フラッシュ持続時間	រយៈពេល Flash	ಫ್ಲ್ಯಾಶ್ ಅವಧಿ	플래시 지속 시간	ໄລຍະເວລາ Flash	Zibspuldzes ilgums	Tempoh kilat	Flitsduur	Czas trwania błysku	Duração do flash	Продолжительность вспышки	ระยะเวลาแฟลช	Flaş süresi	Тривалість спалаху	闪光持续时间	Thời lượng flash
flash_interval	Flash interval	الفاصل الزمني للفلاش	Interval blikání	Blinkintervall	Διάστημα φλας	Intervalo de destello	Välgu intervall	Flash-väli	Intervalle de flash	फ़्लैश अंतराल	Interval lampu kilat	Intervallo di flash	フラッシュ間隔	ចន្លោះពេលពន្លឺ	ಫ್ಲ್ಯಾಶ್ ಮಧ್ಯಂತರ	플래시 간격	ໄລຍະຫ່າງ Flash	Zibspuldzes intervāls	Selang kilat	Flitsinterval	Interwał błysku	Intervalo de flash	Интервал вспышки	ช่วงเวลาแฟลช	Flaş aralığı	Інтервал спалаху	闪光间隔	Khoảng thời gian nhấp nháy
total_duration	Total duration	المدة الإجمالية	Celková doba trvání	Gesamtdauer	Συνολική διάρκεια	Duración total	Kogukestus	Kokonaiskesto	Durée totale	कुल अवधि	Durasi total	Durata totale	合計期間	រយៈពេលសរុប	ಒಟ್ಟು ಅವಧಿ	총 기간	ໄລຍະເວລາທັງໝົດ	Kopējais ilgums	Jumlah tempoh	Totale duur	Całkowity czas trwania	Duração total	Общая продолжительность	ระยะเวลารวม	Toplam süre	Загальна тривалість	总持续时间	Tổng thời gian
safe_time_period	Safe time period	فترة زمنية آمنة	Bezpečné časové období	Sicherer Zeitraum	Ασφαλής χρονική περίοδος	Periodo de tiempo seguro	Ohutu ajaperiood	Turvallinen ajanjakso	Période de sécurité	सुरक्षित समय अवधि	Jangka waktu yang aman	Periodo di tempo sicuro	安全な期間	រយៈពេលសុវត្ថិភាព	ಸುರಕ್ಷಿತ ಅವಧಿ	안전한 기간	ໄລຍະເວລາທີ່ປອດໄພ	Drošs laika periods	Tempoh masa selamat	Veilige periode	Bezpieczny okres czasu	Período de tempo seguro	Безопасный период времени	ระยะเวลาที่ปลอดภัย	Güvenli zaman dilimi	Безпечний період часу	安全时间段	Khoảng thời gian an toàn
disable_flash_alert_within_a_specified_time_period	Disable flash alert within a specified time period	تعطيل تنبيه الفلاش خلال فترة زمنية محددة	Deaktivovat bleskové upozornění v určeném časovém období	Deaktivieren Sie den Blitzalarm innerhalb eines bestimmten Zeitraums	Απενεργοποιήστε την ειδοποίηση φλας μέσα σε μια καθορισμένη χρονική περίοδο	Deshabilitar la alerta de flash dentro de un período de tiempo específico	Välguhoiatuse keelamine määratud aja jooksul	Poista salamahälytys käytöstä tietyn ajan kuluessa	Désactiver l'alerte flash dans un délai spécifié	एक निर्दिष्ट समय अवधि के भीतर फ्लैश अलर्ट अक्षम करें	Nonaktifkan peringatan kilat dalam jangka waktu tertentu	Disabilita l'avviso flash entro un periodo di tempo specificato	指定した期間内でフラッシュ アラートを無効にする	បិទការជូនដំណឹងពន្លឺក្នុងរយៈពេលជាក់លាក់មួយ។	ನಿಗದಿತ ಅವಧಿಯೊಳಗೆ ಫ್ಲಾಶ್ ಎಚ್ಚರಿಕೆಯನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ	지정된 기간 내에 플래시 경고 비활성화	ປິດການແຈ້ງເຕືອນແຟລດພາຍໃນໄລຍະເວລາທີ່ກໍານົດໄວ້	Atspējot zibspuldzes brīdinājumu noteiktā laika periodā	Lumpuhkan amaran kilat dalam tempoh masa tertentu	Schakel flitswaarschuwing uit binnen een bepaalde tijdsperiode	Wyłącz alarm błyskowy w określonym przedziale czasu	Desative o alerta flash dentro de um período de tempo especificado	Отключить флэш-оповещение в течение определенного периода времени	ปิดใช้งานการแจ้งเตือนแฟลชภายในระยะเวลาที่กำหนด	Flaş uyarısını belirli bir süre içinde devre dışı bırakın	Вимкніть миттєве сповіщення протягом зазначеного періоду часу	在指定时间段内禁用闪光警报	Tắt cảnh báo flash trong khoảng thời gian được chỉ định
battery_saver	Battery saver	حافظ البطارية	Šetřič baterie	Batteriesparmodus	Εξοικονόμηση μπαταρίας	Ahorro de batería	Akusäästja	Akun säästäjä	Économiseur de batterie	बैटरी बचाने वाला	Penghemat baterai	Risparmio batteria	バッテリーセーバー	ឧបករណ៍សន្សំសំចៃថ្ម	ಬ್ಯಾಟರಿ ಸೇವರ್	배터리 세이버	ຕົວປະຢັດແບັດເຕີຣີ	Akumulatora taupīšanas režīms	Penyelamat bateri	Batterij bespaarder	Program oszczędzający baterię	Economizador de bateria	Экономия заряда батареи	ประหยัดแบตเตอรี่	Batarya koruyucu	Економія батареї	省电	Tiết kiệm pin
disable_flash_alert_if_battery_bellow	Disable flash alert if battery bellow	قم بتعطيل تنبيه الفلاش إذا كانت البطارية منخفضة	Deaktivujte výstrahu blesku, pokud je baterie nižší	Deaktivieren Sie den Blitzalarm, wenn die Batterie leer ist	Απενεργοποιήστε την ειδοποίηση φλας εάν η μπαταρία είναι κάτω	Desactive la alerta de flash si la batería está por debajo	Lülitage välguhoiatus välja, kui aku laeb alla	Poista salamavaroitus käytöstä, jos akun varaus on tyhjä	Désactiver l'alerte flash si la batterie est en dessous	यदि बैटरी ख़राब हो तो फ़्लैश अलर्ट अक्षम करें	Nonaktifkan peringatan flash jika baterai lemah	Disattiva l'avviso flash se la batteria è scarica	バッテリーが以下の場合はフラッシュアラートを無効にする	បិទការជូនដំណឹងពន្លឺ ប្រសិនបើថ្មខាងក្រោម	ಬ್ಯಾಟರಿ ಕೆಳಗಿದ್ದರೆ ಫ್ಲ್ಯಾಷ್ ಎಚ್ಚರಿಕೆಯನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ	배터리가 부족할 경우 플래시 경고 비활성화	ປິດການແຈ້ງເຕືອນແຟລດຖ້າແບດເຕີລີ່ຂ້າງລຸ່ມ	Atspējojiet zibspuldzes brīdinājumu, ja akumulatora uzlādes līmenis ir zems	Lumpuhkan amaran kilat jika bateri di bawah	Schakel de flitswaarschuwing uit als de batterij leeg is	Wyłącz alert lampy błyskowej, jeśli poziom naładowania baterii jest niższy	Desative o alerta de flash se a bateria estiver abaixo	Отключить вспышку, если батарея разряжена	ปิดใช้งานการแจ้งเตือนแฟลชหากแบตเตอรี่หมด	Pil zayıfsa flaş uyarısını devre dışı bırakın	Вимкніть спалах сповіщення, якщо акумулятор розряджений	如果电池电量不足，请禁用闪光警报	Tắt cảnh báo flash nếu pin yếu
if_you_deactivate_this_feature_flash_alert_will_be_disabled	If you deactivate this feature, flash alert will be disabled	إذا قمت بإلغاء تنشيط هذه الميزة، فسيتم تعطيل تنبيه الفلاش	Pokud tuto funkci deaktivujete, bleskové upozornění bude deaktivováno	Wenn Sie diese Funktion deaktivieren, wird der Blitzalarm deaktiviert	Εάν απενεργοποιήσετε αυτήν τη δυνατότητα, η ειδοποίηση φλας θα απενεργοποιηθεί	Si desactiva esta función, la alerta flash se desactivará	Kui lülitate selle funktsiooni välja, keelatakse välguhoiatus	Jos poistat tämän ominaisuuden käytöstä, salamahälytys poistetaan käytöstä	Si vous désactivez cette fonctionnalité, l'alerte flash sera désactivée	यदि आप इस सुविधा को निष्क्रिय करते हैं, तो फ्लैश अलर्ट अक्षम हो जाएगा	Jika Anda menonaktifkan fitur ini, peringatan kilat akan dinonaktifkan	Se disattivi questa funzione, l'avviso flash sarà disabilitato	この機能を無効にすると、フラッシュアラートは無効になります	ប្រសិនបើអ្នកបិទមុខងារនេះ ការជូនដំណឹងពន្លឺនឹងត្រូវបានបិទ	ನೀವು ಈ ವೈಶಿಷ್ಟ್ಯವನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿದರೆ, ಫ್ಲಾಶ್ ಎಚ್ಚರಿಕೆಯನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗುತ್ತದೆ	이 기능을 비활성화하면 플래시 알림이 비활성화됩니다.	ຖ້າທ່ານປິດຄຸນສົມບັດນີ້, ການແຈ້ງເຕືອນແຟລດຈະຖືກປິດໃຊ້ງານ	Ja deaktivizēsiet šo funkciju, zibspuldzes brīdinājums tiks atspējots	Jika anda menyahaktifkan ciri ini, amaran kilat akan dilumpuhkan	Als u deze functie uitschakelt, wordt de flitswaarschuwing uitgeschakeld	Jeśli wyłączysz tę funkcję, alert błyskowy zostanie wyłączony	Se você desativar este recurso, o alerta flash será desativado	Если вы отключите эту функцию, флэш-оповещение будет отключено.	หากคุณปิดใช้งานคุณสมบัตินี้ การแจ้งเตือนแบบแฟลชจะถูกปิดใช้งาน	Bu özelliği devre dışı bırakırsanız flaş uyarısı devre dışı kalacaktır	Якщо вимкнути цю функцію, спалах сповіщення буде вимкнено	如果您停用此功能，闪光警报将被禁用	Nếu bạn tắt tính năng này, cảnh báo flash sẽ bị tắt
enable	Enable	يُمكَِن	Umožnit	Aktivieren	επιτρέπω	Permitir	Luba	ota käyttöön	Activer	सक्षम	Memungkinkan	Abilitare	有効にする	បើក	ಸಕ್ರಿಯಗೊಳಿಸಿ	할 수 있게 하다	ເປີດໃຊ້	Iespējot	Dayakan	Inschakelen	Włączać	Habilitar	Давать возможность	เปิดใช้งาน	Olanak vermek	Увімкнути	使能够	Cho phép
settings	Settings	إعدادات	Nastavení	Einstellungen	Ρυθμίσεις	Ajustes	Seaded	asetukset	Paramètres	समायोजन	Pengaturan	Impostazioni	設定	ការកំណត់	ಸಂಯೋಜನೆಗಳು	설정	ການຕັ້ງຄ່າ	Iestatījumi	tetapan	Instellingen	Ustawienia	Configurações	Настройки	การตั้งค่า	Ayarlar	Налаштування	设置	Cài đặt
language	Languages	اللغات	Jazyky	Sprachen	Γλώσσες	Idiomas	Keeled	Kieli (kielet	Langues	बोली	Bahasa	Le lingue	言語	ភាសា	ಭಾಷೆಗಳು	언어	ພາສາ	Valodas	Bahasa	Talen	Języki	línguas	Языки	ภาษา	Diller	Мови	语言	Ngôn ngữ
share	Share	يشارك	Podíl	Aktie	Μερίδιο	Compartir	Jaga	Jaa	Partager	शेयर करना	Membagikan	Condividere	共有	ចែករំលែក	ಹಂಚಿಕೊಳ್ಳಿ	공유하다	ແບ່ງປັນ	Dalīties	Kongsi	Deel	Udział	Compartilhar	Делиться	แบ่งปัน	Paylaşmak	Поділіться	分享	Chia sẻ
rate	Rate	معدل	Hodnotit	Rate	Τιμή	Tasa	Hinda	Rate	Taux	दर	Kecepatan	Valutare	レート	អត្រា	ದರ	비율	ອັດຕາ	Likme	Kadar	Tarief	Wskaźnik	Avaliar	Ставка	ประเมิน	Oran	Оцінка	速度	Đánh giá
feedback	Feedback	تعليق	Zpětná vazba	Rückmeldung	Ανατροφοδότηση	Comentario	Tagasiside	Palaute	Retour	प्रतिक्रिया	Masukan	Feedback	フィードバック	មតិកែលម្អ	ಪ್ರತಿಕ್ರಿಯೆ	피드백	ຄໍາຕິຊົມ	Atsauksmes	Maklum balas	Feedback	Informacja zwrotna	Opinião	Обратная связь	ข้อเสนอแนะ	Geri bildirim	Зворотній зв'язок	反馈	Nhận xét
privacy_policy	Privacy Policy	سياسة الخصوصية	Zásady ochrany osobních údajů	Datenschutzrichtlinie	Πολιτική Απορρήτου	política de privacidad	Privaatsuspoliitika	Tietosuojakäytäntö	politique de confidentialité	गोपनीयता नीति	Kebijakan pribadi	politica sulla riservatezza	プライバシーポリシー	គោលការណ៍​ភាព​ឯកជន	ಗೌಪ್ಯತಾ ನೀತಿ	개인 정보 정책	ນະໂຍບາຍຄວາມເປັນສ່ວນຕົວ	Privātuma politika	Dasar Privasi	Privacybeleid	Polityka prywatności	política de Privacidade	политика конфиденциальности	นโยบายความเป็นส่วนตัว	Gizlilik Politikası	Політика конфіденційності	隐私政策	Chính sách bảo mật
terms_and_conditions	Terms and Conditions	الأحكام والشروط	Pravidla a podmínky	Geschäftsbedingungen	Οροι και Προϋποθέσεις	Términos y condiciones	Tingimused	Käyttöehdot	Termes et conditions	नियम और शर्तें	syarat dan Ketentuan	Termini e Condizioni	利用規約	លក្ខខណ្ឌ	ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳು	이용약관	ຂໍ້ກໍານົດແລະເງື່ອນໄຂ	Noteikumi un nosacījumi	Terma dan syarat	Voorwaarden	Regulamin	Termos e Condições	Условия и положения	ข้อกำหนดและเงื่อนไข	Şartlar ve koşullar	Правила та умови	条款和条件	Các điều khoản và điều kiện
start	Start	يبدأ	Start	Start	Αρχή	Comenzar	Alusta	alkaa	Commencer	शुरू	Awal	Inizio	始める	ចាប់ផ្តើម	ಪ್ರಾರಂಭಿಸಿ	시작	ເລີ່ມ	Sākt	Mulakan	Begin	Początek	Começar	Начинать	เริ่ม	Başlangıç	старт	开始	Bắt đầu
