Text Key	Base(en)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian  (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt-PT)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh-Hans)	Vietnamese (vi)
font	Font	الخط	Písmo	Schriftart	Γραμματοσειρά	Fuente	Font	Fontti	Police de caractère	फ़ॉन्ट	huruf	Font	フォント	ពុម្ពអក្សរ	ಫಾಂಟ್	폰트	ຟອນ	Fonts	fon	Lettertype	Czcionka	Fonte	Шрифт	แบบอักษร	Yazı tipi	Шрифт	字体	Nét chữ
text_size	Text Size	حجم الخط	Velikost textu	Textgröße	Μέγεθος κειμένου	Tamano del texto	Teksti suurus	Tekstin koko	Taille du texte	टेक्स्ट का साइज़	Ukuran teks	Dimensione del testo	文字サイズ	ទំហំអត្ថបទ	ಪಠ್ಯದ ಗಾತ್ರ	텍스트 크기	ຂະໜາດຂໍ້ຄວາມ	Teksta lielums	Saiz Teks	Lettergrootte	Rozmiar czcionki	Tamanho do texto	Размер текста	ขนาดข้อความ	Yazı Boyutu	Розмір тексту	字体大小	Cỡ chữ
photo_frame	Photo Frame	إطار الصورة	Foto rámeček	Bilderrahmen	Κορνίζα	Marco de la foto	Pildiraam	Valokuvakehys	Cadre photo	फोटो फ्रेम	Bingkai foto	Cornice	フォトフレーム	ស៊ុម​រូបថត	ಫೋಟೋ ಫ್ರೇಮ್	사진 프레임	ກອບຮູບ	Foto rāmis	Bingkai foto	Foto lijstje	Ramka na zdjęcia	Moldura para fotos	Фоторамка	กรอบรูป	Fotoğraf çerçevesi	Фоторамка	相框	Khung ảnh
text_location	Text Location	موقع النص	Umístění textu	Textposition	Τοποθεσία κειμένου	Ubicación del texto	Teksti asukoht	Tekstin sijainti	Emplacement du texte	पाठ स्थान	Lokasi Teks	Posizione del testo	テキストの場所	ទីតាំងអត្ថបទ	ಪಠ್ಯ ಸ್ಥಳ	텍스트 위치	ຂໍ້ຄວາມສະຖານທີ່	Teksta atrašanās vieta	Lokasi Teks	Tekstlocatie	Lokalizacja tekstu	Localização do texto	Расположение текста	ตำแหน่งข้อความ	Metin Konumu	Розташування тексту	文本位置	Vị trí văn bản
install	INSTALL	ثَبَّتَ	NAINSTALUJTE	INSTALLIEREN	ΕΓΚΑΘΙΣΤΩ	INSTALAR	PAIGALDA	ASENTAA	INSTALLER	स्थापित करना	INSTALL	INSTALLARE	インストール	ដំឡើង	ಸ್ಥಾಪಿಸಿ	설치하다	ຕິດຕັ້ງ	UZSTĀDĪT	PASANG	INSTALLEREN	ZAINSTALOWAĆ	INSTALAR	УСТАНОВИТЬ	ติดตั้ง	DÜZENLEMEK	ВСТАНОВИТИ	安装	CÀI ĐẶT
install_lowercase	Install	ثَبَّتَ	Nainstalujte	Installieren	Εγκαθιστώ	Instalar	Installige	Asentaa	Installer	स्थापित करना	Install	Installare	インストール	ដំឡើង	ಸ್ಥಾಪಿಸಿ	설치하다	ຕິດຕັ້ງ	Uzstādīt	Pasang	Installeren	zainstalować	Instalar	Установить	ติดตั้ง	Düzenlemek	встановити	安装	Cài đặt
app_widget_description	App Widget	القطعة التطبيق	Widget aplikace	App-Widget	Γραφικό στοιχείο εφαρμογής	Widget de aplicación	Rakenduse vidin	Sovellus-widget	Widget d'application	ऐप विजेट	Widget Aplikasi	Widget dell'app	アプリウィジェット	ធាតុក្រាហ្វិកកម្មវិធី	ಅಪ್ಲಿಕೇಶನ್ ವಿಜೆಟ್	앱 위젯	App Widget	Lietotņu logrīks	Widget Apl	App-widget	Widżet aplikacji	Widget de aplicativo	Виджет приложения	วิดเจ็ตแอป	Uygulama Widget'ı	Віджет програми	应用程序小部件	Tiện ích ứng dụng
set_wallpaper	Set Wallpaper	تعيين خلفية	Nastavit tapetu	Hintergrundbild festlegen	Ορισμός ταπετσαρίας	Establecer fondo de pantalla	Määra taustpilt	Aseta taustakuva	Définir le papier peint	वॉलपेपर सेट करो	Memasang wallpaper	Imposta sfondo	壁紙を設定する	កំណត់ផ្ទាំងរូបភាព	ವಾಲ್‌ಪೇಪರ್ ಹೊಂದಿಸಿ	배경화면 설정	ຕັ້ງພາບພື້ນຫຼັງ	Iestatīt fona attēlu	Tetapkan Kertas Dinding	Stel in als achtergrond	Ustaw tapetę	Definir papel de parede	Установка обоев	ตั้งค่าวอลเปเปอร์	Duvar kağıdı ayarla	Встановити шпалери	设置壁纸	Cài đặt hình nền
failed_shortcut	Failed to download Shortcut! Please try again later	فشل في تنزيل الاختصار! الرجاء معاودة المحاولة في وقت لاحق	Stažení zástupce se nezdařilo! Prosím zkuste to znovu později	Shortcut konnte nicht heruntergeladen werden! Bitte versuchen Sie es später noch einmal	Η λήψη της συντόμευσης απέτυχε! Παρακαλώ δοκιμάστε ξανά αργότερα	¡No se pudo descargar el acceso directo! Por favor, inténtelo de nuevo más tarde	Otsetee allalaadimine nurjus! Palun proovi hiljem uuesti	Pikakuvakkeen lataaminen epäonnistui! Yritä uudelleen myöhemmin	Échec du téléchargement du raccourci ! Veuillez réessayer plus tard	शॉर्टकट डाउनलोड करने में विफल! कृपया बाद में पुन: प्रयास करें	Gagal mengunduh Pintasan! Silakan coba lagi nanti	Impossibile scaricare il collegamento! Per favore riprova più tardi	ショートカットのダウンロードに失敗しました!後でもう一度試してください	បរាជ័យក្នុងការទាញយកផ្លូវកាត់! សូម​ព្យាយាម​ម្តង​ទៀត​នៅ​ពេល​ក្រោយ	ಶಾರ್ಟ್‌ಕಟ್ ಡೌನ್‌ಲೋಡ್ ಮಾಡಲು ವಿಫಲವಾಗಿದೆ! ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ	바로가기를 다운로드하지 못했습니다! 나중에 다시 시도 해주십시오	ດາວໂຫຼດທາງລັດບໍ່ສຳເລັດ! ກະລຸນາລອງໃໝ່ໃນພາຍຫຼັງ	Neizdevās lejupielādēt saīsni! Lūdzu, pamēģiniet vēlreiz vēlāk	Gagal memuat turun Pintasan! Sila cuba sebentar lagi	Kan snelkoppeling niet downloaden! Probeer het later opnieuw	Nie udało się pobrać skrótu! Spróbuj ponownie później	Falha ao baixar o atalho! Por favor, tente novamente mais tarde	Не удалось загрузить ярлык! Пожалуйста, повторите попытку позже	ดาวน์โหลดทางลัดไม่สำเร็จ! กรุณาลองใหม่อีกครั้งในภายหลัง	Kısayol indirilemedi! Lütfen daha sonra tekrar deneyiniz	Не вдалося завантажити ярлик! Будь-ласка спробуйте пізніше	快捷方式下载失败！请稍后再试	Không tải xuống được Phím tắt! Vui lòng thử lại sau
failed_widget	Failed to download Widget! Please try again later	فشل تنزيل القطعة! الرجاء معاودة المحاولة في وقت لاحق	Widget se nepodařilo stáhnout! Prosím zkuste to znovu později	Widget konnte nicht heruntergeladen werden! Bitte versuchen Sie es später noch einmal	Η λήψη του Widget απέτυχε! Παρακαλώ δοκιμάστε ξανά αργότερα	¡No se pudo descargar el widget! Por favor, inténtelo de nuevo más tarde	Vidina allalaadimine nurjus! Palun proovi hiljem uuesti	Widgetin lataaminen epäonnistui! Yritä uudelleen myöhemmin	Échec du téléchargement du widget ! Veuillez réessayer plus tard	विजेट डाउनलोड करने में विफल! कृपया बाद में पुन: प्रयास करें	Gagal mengunduh Widget! Silakan coba lagi nanti	Impossibile scaricare il widget! Per favore riprova più tardi	ウィジェットのダウンロードに失敗しました!後でもう一度試してください	បរាជ័យក្នុងការទាញយក Widget! សូម​ព្យាយាម​ម្តង​ទៀត​នៅ​ពេល​ក្រោយ	ವಿಜೆಟ್ ಡೌನ್‌ಲೋಡ್ ಮಾಡಲು ವಿಫಲವಾಗಿದೆ! ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ	위젯을 다운로드하지 못했습니다! 나중에 다시 시도 해주십시오	ລົ້ມເຫລວໃນການດາວໂຫຼດ Widget! ກະລຸນາລອງໃໝ່ໃນພາຍຫຼັງ	Neizdevās lejupielādēt logrīku! Lūdzu, pamēģiniet vēlreiz vēlāk	Gagal memuat turun Widget! Sila cuba sebentar lagi	Kan de widget niet downloaden! Probeer het later opnieuw	Nie udało się pobrać widgetu! Spróbuj ponownie później	Falha ao baixar o widget! Por favor, tente novamente mais tarde	Не удалось загрузить виджет! Пожалуйста, повторите попытку позже	ดาวน์โหลดวิดเจ็ตไม่สำเร็จ! กรุณาลองใหม่อีกครั้งในภายหลัง	Widget indirilemedi! Lütfen daha sonra tekrar deneyiniz	Не вдалося завантажити віджет! Будь-ласка спробуйте пізніше	下载小部件失败！请稍后再试	Không tải được tiện ích xuống! Vui lòng thử lại sau
failed_download	Failed to download! Please try again later	فشل في التحميل! الرجاء معاودة المحاولة في وقت لاحق	Stažení se nezdařilo! Prosím zkuste to znovu později	Download fehlgeschlagen! Bitte versuchen Sie es später noch einmal	Αποτυχία λήψης! Παρακαλώ δοκιμάστε ξανά αργότερα	¡Error al descargar! Por favor, inténtelo de nuevo más tarde	Allalaadimine ebaõnnestus! Palun proovi hiljem uuesti	Lataus epäonnistui! Yritä uudelleen myöhemmin	Échec du téléchargement ! Veuillez réessayer plus tard	डाउनलोड करने में विफल! कृपया बाद में पुन: प्रयास करें	Gagal mengunduh! Silakan coba lagi nanti	Download non riuscito! Per favore riprova più tardi	ダウンロードに失敗しました!後でもう一度試してください	បរាជ័យក្នុងការទាញយក! សូម​ព្យាយាម​ម្តង​ទៀត​នៅ​ពេល​ក្រោយ	ಡೌನ್‌ಲೋಡ್ ಮಾಡಲು ವಿಫಲವಾಗಿದೆ! ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ	다운로드에 실패했습니다! 나중에 다시 시도 해주십시오	ດາວໂຫຼດບໍ່ສຳເລັດ! ກະລຸນາລອງໃໝ່ໃນພາຍຫຼັງ	Neizdevās lejupielādēt! Lūdzu, pamēģiniet vēlreiz vēlāk	Gagal memuat turun! Sila cuba sebentar lagi	Download mislukt! Probeer het later opnieuw	Nie udało się pobrać! Spróbuj ponownie później	Falhou o download! Por favor, tente novamente mais tarde	Не удалось скачать! Пожалуйста, повторите попытку позже	ดาวน์โหลดไม่สำเร็จ! กรุณาลองใหม่อีกครั้งในภายหลัง	İndirme başarısız oldu! Lütfen daha sonra tekrar deneyiniz	Не вдалося завантажити! Будь-ласка спробуйте пізніше	下载失败！请稍后再试	Không thể tải xuống! Vui lòng thử lại sau
failed_create_bitmap	Failed to create bitmap! Please try again later	فشل في إنشاء الصورة النقطية! الرجاء معاودة المحاولة في وقت لاحق	Vytvoření bitmapy se nezdařilo! Prosím zkuste to znovu později	Bitmap konnte nicht erstellt werden! Bitte versuchen Sie es später noch einmal	Αποτυχία δημιουργίας bitmap! Παρακαλώ δοκιμάστε ξανά αργότερα	¡No se pudo crear el mapa de bits! Por favor, inténtelo de nuevo más tarde	Bitkaardi loomine ebaõnnestus! Palun proovi hiljem uuesti	Bittikartan luominen epäonnistui! Yritä uudelleen myöhemmin	Échec de la création du bitmap ! Veuillez réessayer plus tard	बिटमैप बनाने में विफल! कृपया बाद में पुन: प्रयास करें	Gagal membuat bitmap! Silakan coba lagi nanti	Impossibile creare la bitmap! Per favore riprova più tardi	ビットマップの作成に失敗しました!後でもう一度試してください	បរាជ័យ​ក្នុង​ការ​បង្កើត​ផែនទី​ប៊ីត! សូម​ព្យាយាម​ម្តង​ទៀត​នៅ​ពេល​ក្រោយ	ಬಿಟ್‌ಮ್ಯಾಪ್ ರಚಿಸಲು ವಿಫಲವಾಗಿದೆ! ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ	비트맵을 생성하지 못했습니다! 나중에 다시 시도 해주십시오	ລົ້ມເຫລວໃນການສ້າງແຜນທີ່ບິດ! ກະລຸນາລອງໃໝ່ໃນພາຍຫຼັງ	Neizdevās izveidot bitkarti! Lūdzu, pamēģiniet vēlreiz vēlāk	Gagal mencipta bitmap! Sila cuba sebentar lagi	Kan bitmap niet maken! Probeer het later opnieuw	Nie udało się utworzyć bitmapy! Spróbuj ponownie później	Falha ao criar bitmap! Por favor, tente novamente mais tarde	Не удалось создать растровое изображение! Пожалуйста, повторите попытку позже	ไม่สามารถสร้างบิตแมป! กรุณาลองใหม่อีกครั้งในภายหลัง	Bitmap oluşturulamadı! Lütfen daha sonra tekrar deneyiniz	Не вдалося створити растрове зображення! Будь-ласка спробуйте пізніше	创建位图失败！请稍后再试	Không tạo được bitmap! Vui lòng thử lại sau
select_your_application	Select your application	حدد التطبيق الخاص بك	Vyberte aplikaci	Wählen Sie Ihre Anwendung aus	Επιλέξτε την εφαρμογή σας	Selecciona tu aplicación	Valige oma rakendus	Valitse sovelluksesi	Sélectionnez votre candidature	अपना आवेदन चुनें	Pilih aplikasi Anda	Seleziona la tua applicazione	アプリケーションを選択してください	ជ្រើសរើសកម្មវិធីរបស់អ្នក។	ನಿಮ್ಮ ಅಪ್ಲಿಕೇಶನ್ ಆಯ್ಕೆಮಾಡಿ	애플리케이션을 선택하세요	ເລືອກຄໍາຮ້ອງສະຫມັກຂອງທ່ານ	Izvēlieties savu lietojumprogrammu	Pilih aplikasi anda	Selecteer uw toepassing	Wybierz swoją aplikację	Selecione seu aplicativo	Выберите свое приложение	เลือกใบสมัครของคุณ	Uygulamanızı seçin	Виберіть свою програму	选择您的应用程序	Chọn ứng dụng của bạn
type_to_search	Type To Search	اكتب للبحث	Zadejte pro vyhledávání	Tippe um zu suchen	Πληκτρολογήστε Για Αναζήτηση	Escribe para buscar	Tippige otsimiseks	Kirjoita Hae	Tapez pour rechercher	खोजने के लिए लिखें	Ketik untuk mencari	Digita per cercare	入力して検索	វាយបញ្ចូលដើម្បីស្វែងរក	ಹುಡುಕಲು ಟೈಪ್ ಮಾಡಿ	검색하려면 입력하세요.	ພິມເພື່ອຊອກຫາ	Ierakstiet, lai meklētu	Taip Untuk Cari	Type om te zoeken	Wpisz aby wyszukać	Escreva para pesquisar	Введите для поиска	พิมพ์เพื่อค้นหา	Aramak İçin Yazın	Введіть для пошуку	输入搜索	Nhập để tìm kiếm
selected_themes	Selected Themes	المواضيع المختارة	Vybraná témata	Ausgewählte Themen	Επιλεγμένα Θέματα	Temas seleccionados	Valitud teemad	Valitut teemat	Thèmes sélectionnés	चयनित थीम	Tema yang Dipilih	Temi selezionati	選択されたテーマ	ស្បែកដែលបានជ្រើសរើស	ಆಯ್ದ ಥೀಮ್‌ಗಳು	선택된 테마	ຮູບແບບສີສັນທີ່ເລືອກ	Atlasītie motīvi	Tema yang Dipilih	Geselecteerde thema's	Wybrane tematy	Temas Selecionados	Выбранные темы	ธีมที่เลือก	Seçilen Temalar	Вибрані теми	精选主题	Chủ đề đã chọn
unlock_wallpaper	Unlock Wallpaper	فتح ورق الجدران	Odemknout tapetu	Schalte das Hintergrundbild frei	Ξεκλείδωμα ταπετσαρίας	Desbloquear fondo de pantalla	Avage taustpilt	Avaa taustakuva	Déverrouiller le fond d'écran	वॉलपेपर अनलॉक करें	Buka Kunci Wallpaper	Sblocca lo sfondo	壁紙のロックを解除する	ដោះសោផ្ទាំងរូបភាព	ವಾಲ್‌ಪೇಪರ್ ಅನ್‌ಲಾಕ್ ಮಾಡಿ	배경화면 잠금 해제	ປົດລັອກວໍເປເປີ	Atbloķēt fona attēlu	Buka kunci Kertas Dinding	Ontgrendel achtergrond	Odblokuj tapetę	Desbloquear papel de parede	Разблокировать обои	ปลดล็อควอลเปเปอร์	Duvar Kağıdının Kilidini Aç	Розблокувати шпалери	解锁壁纸	Mở khóa hình nền
wallpaper	WALLPAPER	ورق الجدران	TAPETA NA ZEĎ	HINTERGRUND	ΤΑΠΕΤΣΑΡΙΑ	FONDO DE PANTALLA	TAPEET	TAPETTA	FOND D'ÉCRAN	वॉलपेपर	WALLPAPER	SFONDO	壁紙	ផ្ទាំង​រូបភាព	ವಾಲ್‌ಪೇಪರ್	벽지	ຮູບວໍເປເປີ	TAPETE	WALLPAPER	BEHANG	TAPETA	PAPEL DE PAREDE	ОБОИ	วอลล์เปเปอร์	DUVAR KAĞIDI	ШПАЛЕРИ	墙纸	HÌNH NỀN
wallpapers	Wallpapers	خلفيات	Tapety	Hintergrundbilder	Ταπετσαρίες	Fondos de pantalla	Taustapildid	Taustakuvat	Fonds d'écran	वॉलपेपर	Wallpaper	Sfondi	壁紙	ផ្ទាំងរូបភាព	ವಾಲ್‌ಪೇಪರ್‌ಗಳು	배경화면	ພາບພື້ນຫຼັງ	Tapetes	Kertas dinding	Achtergronden	Tapety	Papeis de parede	Обои	วอลเปเปอร์	Duvar kağıtları	Шпалери	壁纸	Hình nền
icons	Icons	أيقونات	ikony	Symbole	εικονίδια	Iconos	Ikoonid	Kuvakkeet	Icônes	माउस	Ikon	Icone	アイコン	រូបតំណាង	ಚಿಹ್ನೆಗಳು	아이콘	ໄອຄອນ	Ikonas	ikon	Pictogrammen	Ikony	Ícones	Иконки	ไอคอน	Simgeler	Ікони	图标	Biểu tượng
widgets	Widgets	الحاجيات	Widgety	Widgets	Widgets	widgets	Vidinad	Widgetit	Widgets	विजेट	Widget	Widget	ウィジェット	ធាតុក្រាហ្វិក	ವಿಡ್ಗೆಟ್ಗಳು	위젯	ວິດເຈັດ	Logrīki	Widget	Widgets	Widżety	Widgets	Виджеты	วิดเจ็ต	Widget'lar	Віджети	小部件	Widget
download	Download	تحميل	Stažení	Herunterladen	Κατεβάστε	Descargar	Lae alla	ladata	Télécharger	डाउनलोड करना	Unduh	Scaricamento	ダウンロード	ទាញយក	ಡೌನ್‌ಲೋಡ್ ಮಾಡಿ	다운로드	ດາວໂຫຼດ	Lejupielādēt	Muat turun	Downloaden	Pobierać	Download	Скачать	ดาวน์โหลด	İndirmek	Завантажити	下载	Tải xuống
unlock_with	Unlock with	فتح مع	Odemknout pomocí	Entsperren Sie mit	Ξεκλείδωμα με	Desbloquear con	Avage rakendusega	Avaa lukitus	Débloquez avec	के साथ अनलॉक करें	Buka kunci dengan	Sblocca con	でロックを解除します	ដោះសោជាមួយ	ಇದರೊಂದಿಗೆ ಅನ್ಲಾಕ್ ಮಾಡಿ	다음으로 잠금 해제	ປົດລັອກດ້ວຍ	Atbloķēt ar	Buka kunci dengan	Ontgrendel met	Odblokuj za pomocą	Desbloquear com	Разблокировать с помощью	ปลดล็อคด้วย	ile kilidini aç	Розблокувати за допомогою	解锁用	Mở khóa bằng
get_it_for_free	Get 200 Gems for FREE	احصل على 200 جوهرة مجانا	Získejte 200 drahokamů ZDARMA	Holen Sie sich 200 Edelsteine ​​KOSTENLOS	Αποκτήστε 200 πετράδια ΔΩΡΕΑΝ	Consigue 200 gemas GRATIS	Hankige 200 kalliskivi TASUTA	Hanki 200 jalokivet ILMAISEKSI	Obtenez 200 gemmes GRATUITEMENT	200 रत्न निःशुल्क प्राप्त करें	Dapatkan 200 Permata GRATIS	Ottieni 200 gemme GRATIS	200ジェムを無料でゲット	ទទួលបាន 200 ត្បូងដោយឥតគិតថ្លៃ	200 ರತ್ನಗಳನ್ನು ಉಚಿತವಾಗಿ ಪಡೆಯಿರಿ	보석 200개를 무료로 받으세요	ຮັບ 200 ແກ້ວປະເສີດຟຣີ	Saņemiet 200 dārgakmeņus BEZ MAKSAS	Dapatkan 200 Permata secara PERCUMA	Ontvang GRATIS 200 edelstenen	Zdobądź 200 klejnotów ZA DARMO	Ganhe 200 joias GRATUITAMENTE	Получите 200 драгоценных камней БЕСПЛАТНО	รับ 200 อัญมณีฟรี	ÜCRETSİZ olarak 200 Mücevher alın	Отримайте 200 дорогоцінних каменів БЕЗКОШТОВНО	免费获得 200 颗宝石	Nhận 200 đá quý MIỄN PHÍ
unlock	UNLOCK	الغاء القفل	ODEMKNOUT	FREISCHALTEN	ΞΕΚΛΕΙΔΩΜΑ	DESBLOQUEAR	AVASTA	AVATA	OUVRIR	अनलॉक	MEMBUKA KUNCI	SBLOCCARE	ロックを解除する	ដោះសោ	ಅನ್ಲಾಕ್ ಮಾಡಿ	터놓다	ປົດລັອກ	ATbloķēt	BUKA KUNCI	ONTGRENDELEN	ODBLOKOWAĆ	DESBLOQUEAR	РАЗБЛОКИРОВАТЬ	ปลดล็อค	KİLİDİNİ AÇ	РОЗБЛОКУВАТИ	开锁	MỞ KHÓA
unlock_all	UNLOCK ALL	فتح الكل	ODEMKNOUT VŠE	ALLE ENTSPERREN	ΞΕΚΛΕΙΔΩΜΑ ΟΛΩΝ	DESBLOQUEAR TODOS	AVA KÕIK	AVAA KAIKKI	DÉBLOQUÉ TOUT	सबको अनलॉक करें	BUKA SEMUA	SBLOCCA TUTTO	すべてのロックを解除	ដោះសោទាំងអស់។	ಎಲ್ಲವನ್ನೂ ಅನ್ಲಾಕ್ ಮಾಡಿ	모두 잠금 해제	ປົດລັອກທັງໝົດ	ATKLĀJOT VISU	BUKA KUNCI SEMUA	SPEEL ALLES VRIJ	ODBLOKOWANIE WSZYSTKICH	DESTRANCAR TUDO	РАЗБЛОКИРОВАТЬ ВСЕ	ปลดล็อคทั้งหมด	HEPSİNİN KİLİDİNİ AÇ	РОЗБЛОКУВАТИ ВСІ	全部解锁	MỞ KHÓA TẤT CẢ
