Group Keys	Text Keys	Base(en)	Vietnamese (vi)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt-PT)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh-Hans)
language	ukrainian	Ukrainian	Tiếng Ukraine	الأوكرانية	ukrajinština	ukrainisch	Ουκρανός	ucranio	Ukraina	Ukrainalainen	ukrainien	यूक्रेनी	Orang Ukraina	ucraino	ウクライナ人	ជនជាតិអ៊ុយក្រែន	ಯುಕೆರಿನ	우크라이나 인	ອູແກຣນ	Ukraiņu	Ukraine	Oekraïens	ukraiński	ucraniano	украинец	ชาวยูเครน	Ukrayna	Український	乌克兰
language	turkish	Turkish	Tiếng Thổ Nhĩ Kỳ	اللغة التركية	turečtina	Türkisch	τούρκικος	turco	Türgi	Turkkilainen	turc	तुर्की	Turki	Turco	トルコ語	ទួរគី	ಟರ್ಕಿಯ	터키	ພາສາຕຸລະກີ	Turku	Turki	Turks	turecki	turco	турецкий	ตุรกี	Türkçe	Турецький	土耳其
language	thai	Thai	Tiếng Thái	التايلاندية	Thai	Thai	Ταϊλάνδης	tailandés	Tai	Thaimaalainen	thaïlandais	थाई	Thai	tailandese	タイ	ថៃ	ದರ್ಜೆ	태국	ຄົນໄທ	Taizemiete	Thai	Thais	tajski	tailandês	Тайский	แบบไทย	Tayland	Тайський	泰国
language	spanish	Spanish	Tiếng Tây Ban Nha	الأسبانية	španělština	Spanisch	Ισπανικά	Español	Hispaania keel	Espanja	Espagnol	स्पैनिश	Orang Spanyol	spagnolo	スペイン語	អេស្ប៉ាញ	ಸ್ಪೋರ್ಯ	스페인의	ສະເປນ	Spāņu valoda	Sepanyol	Spaans	hiszpański	Espanhol	испанский	ภาษาสเปน	İspanyol	Іспанська мова	西班牙语
language	russian	Russian	Tiếng Nga	الروسية	ruština	Russisch	Ρωσική	ruso	Vene	Venäjän kieli	russe	रूसी	Rusia	russo	ロシア	រុស្ស៊ី	ರಷ್ಯಾದ	러시아인	ພາສາລັດເຊຍ	Krievs	Rusia	Russisch	Rosyjski	russo	Русский	ชาวรัสเซีย	Rusça	російський	俄语
language	portuguese	Portuguese	Tiếng Bồ Đào Nha	البرتغالية	portugalština	Portugiesisch	Πορτογαλικά	portugués	Portugali keel	Portugalin kieli	Portugais	पुर्तगाली	Portugis	portoghese	ポルトガル語	ព័រទុយហ្កាល់	ಪೋರ್ಚುಗೀಸ್	포르투갈 인	ປອກຕຸຍການ	Portugāļu valoda	Portugis	Portugees	portugalski	Português	португальский	ชาวโปรตุเกส	Portekizce	Португальський	葡萄牙语
language	polish	Polish	Tiếng Ba Lan	تلميع	polština	Polieren	Στίλβωση	Polaco	Poola	Kiillottaa	polonais	पोलिश	Polandia	Polacco	研磨	ធេវីអាេយរលោង	ಹೊಳಪು ಕೊಡು	광택	ໂປໂລຍ	Pulēt	Menggilap	Pools	Polski	polonês	Лак	ขัด	Lehçe	Польський	抛光
language	latvian	Latvian	Tiếng Latvia	لاتفيا	lotyšský	lettisch	Λετονική	letón	Läti	Latvialainen	letton	लात्वीयावासी	Latvia	lettone	ラトビアン	ឡាតវីយ៉ា	ಲಾಟ್ವಿಯದ	라트비아 사람	ລັດເວຍ	Latviešu	Latvian	Letland	łotewski	letão	Латышский	เกี่ยวกับลัตเวีย	Letonyalı	Латвійський	拉脱维亚
language	lao	Lao	Tiếng Lào	لاو	Lao	Lao	Λάος	Lao	Lao	Lao	Lao	लाओ	Lao	Lao	ラオス	ឡាវ	ಲಾವನ	라오	ພາສາລາວ	Lao	Lao	Lao	Lao	Laos	Лаос	ลาว	Lao	Лао	老挝
language	malay	Malay	Tiếng Mã lai	لغة الملايو	Malay	malaiisch	Μαλαισία	malayo	Malai	Malaijilainen	malais	मलायी	Melayu	malese	マレー	ម៉ាឡេ	ಮಲಯ	말레이 사람	ມາເລ	Malajiešu valoda	Melayu	Maleis	malajski	malaio	малайский	มลายู	Malay	Малайський	马来语
language	korean	Korean	Tiếng Hàn Quốc	الكورية	korejština	Koreanisch	κορεάτης	coreano	Korea	Korealainen	coréen	कोरियाई	Korea	coreano	韓国語	កូរ៉េ	ಕೊರಿಯಾದ	한국인	ເກົາຫຼີ	Korejiešu	Korea	Koreaans	koreański	coreano	Корейский	เกาหลี	Koreli	Корейський	韩国人
language	khmer	Khmer	Tiếng Khmer	الخمير	Khmer	Khmer	Χμερ	Jemer	Khme	Khmer	Khmer	खमेर	Khmer	Khmer	クメール	ខ្មែរ	ಖಮೇರ್	크메르	ໄທຣາ	Khmers	Khmer	Khmer	Khmer	Khmer	Кхмер	เขมรตัว	Khmer	Кхмер	高棉
language	kannada	Kannada	Tiếng Kannada	الكانادا	Kannada	Kannada	Κανάντα	Kannada	Kannada	Kannada	Kannada	कन्नडा	Kannada	Kannada	カンナダ	Kannada	ಕನ್ನಡಿ	칸나다어	Kannada	Kannāda	Kannada	Kannada	Kannada	Kannada	Каннада	ภาษากันนาดา	Kannada	Канада	卡纳达语
language	japanese	Japanese	tiếng Nhật	اليابانية	japonský	japanisch	Ιαπωνικά	japonés	Jaapani keel	japanilainen	Japonais	जापानी	Jepang	giapponese	日本語	ជនជាតិជប៉ុន	ಜಪಾನೀಸ್	일본어	ຍີ່ປຸ່ນ	Japānis	Jepun	Japans	język japoński	japonês	Японский	ญี่ปุ่น	Japonca	Японський	日本人
language	italian	Italian	Tiếng Ý	إيطالي	italština	Italienisch	ιταλικός	italiano	Itaallane	italialainen	italien	इतालवी	Italia	Italiano	イタリアの	អ៊ីតាលី	ಇಟಲಿಯ	이탈리아 사람	ອິຕາລຽນ	Itālietis	Bahasa Itali	Italiaans	Włoski	italiano	Итальянский	อิตาลี	İtalyan	Італійський	意大利人
language	indonesian	Indonesian	Tiếng Indonesia	إندونيسي	indonéština	Indonesisch	Ινδονησιακός	indonesio	Indoneesia	Indonesialainen	indonésien	इन्डोनेशियाई	bahasa Indonesia	indonesiano	インドネシア語	ឥណ្ឌូនេស៊ី	ಇಂಡೋನೀಷಿಯ	인도네시아 인	ອິນໂດເນເຊຍ	Indonēzietis	Indonesia	Indonesisch	indonezyjski	indonésio	индонезийский	ชาวอินโดนีเซีย	Endonezyalı	Індонезійський	印度尼西亚
language	hindi	Hindi	Tiếng Hindi	الهندية	hindština	Hindi	Χίντι	hindi	Hindi keel	Hindi	hindi	हिंदी	Hindi	hindi	ヒンディー語	ហិណ្ឌូ	ಹಿಂದಿ	힌디 어	ຮິນດູ	Hindu valoda	Hindi	Hindi	hinduski	hindi	хинди	ภาษาฮินดี	Hintçe	Хінді	印地语
language	greek	Greek	Tiếng Hy Lạp	اليونانية	řecký	griechisch	Ελληνικά	Griego	Kreeka keel	Kreikka	grec	यूनानी	Orang yunani	greco	ギリシャ語	ក្រិក	ಗ್ರೀಕ್	그리스 어	ກເຣັກ	Grieķu valoda	Greek	Grieks	grecki	grego	Греческий	กรีก	Yunan	Грецький	希腊语
language	german	German	Tiếng Đức	ألمانية	Němec	Deutsch	Γερμανός	Alemán	Sakslane	Saksan kieli	Allemand	जर्मन	Jerman	Tedesco	ドイツ人	អាឡឺម៉ង់	ಜರ್ಮನ್ ಭಾಷೆಯ	독일 사람	ເຢຍລະມັນ	Vācu valoda	Jerman	Duits	Niemiecki	Alemão	Немецкий	ชาวเยอรมัน	Almanca	Німецький	德语
language	french	French	Tiếng Pháp	فرنسي	francouzština	Französisch	γαλλική γλώσσα	Francés	Prantsuse	Ranskan kieli	Français	फ्रांसीसी	Perancis	francese	フランス語	បារាំង	ಫ್ರೆಂಚ್	프랑스 국민	ຝຣັ່ງ	Franču valoda	Perancis	Frans	Francuski	Francês	Французский	ภาษาฝรั่งเศส	Fransızca	Французький	法语
language	finnish	Finnish	Tiếng Phần Lan	الفنلندية	Finštinu	finnisch	φινλανδικός	finlandés	Soomlane	Suomalainen	finlandais	फिनिश	Finlandia	finlandese	フィンランド語	ហ្វាំងឡង់	ಲೋಕದ	핀란드	ແຟງລັງ	Somu	Finland	Fins	fiński	finlandês	Финский	ภาษาฟินแลนด์	Fince	Фінський	芬兰
language	estonian	Estonian	Tiếng Estonia	الإستونية	estonština	estnisch	Εσθονικός	Estonio	Eestonian	Virolainen	estonien	एस्तोनियावासी	Estonia	Estone	エストニアン	អេស្តូនី	ಎಸ್ಟೋನದ	에스토니아 사람	estonian	Igauņu	Estonia	Estlands	estoński	estoniano	эстонский	เอสโตเนีย	Estonya	Естонський	爱沙尼亚人
language	dutch	Dutch	Tiếng Hà Lan	هولندي	holandský	Niederländisch	Ολλανδός	Holandés	Hollandlane	Hollannin kieli	Néerlandais	डच	Belanda	Olandese	オランダの	ហូឡង់	ಡಚ್ಚರ	네덜란드 사람	ໂຮນລັງ	Holandieši	Belanda	Nederlands	Holenderski	Holandês	Голландский	ชาวดัตช์	Flemenkçe	Голландський	荷兰
language	czech	Czech	Tiếng Séc	التشيكية	čeština	Tschechisch	Τσέχος	checo	Tšehhi	Tšekin	tchèque	चेक	Ceko	ceco	チェコ	ឆែក	ಜೆಕ್	체코 사람	ເຊັກ	Čehu valoda	Czech	Tsjechisch	Czech	Tcheco	Чешский	ภาษาเช็ก	Çek	Чеський	捷克
language	chinese	Chinese	Tiếng Trung Quốc	صينى	čínština	Chinesisch	κινέζικα	Chino	Hiinlane	Kiinalainen	Chinois	चीनी	Cina	Cinese	中国語	ចិន	ಚೀನಾದ	중국인	ຈີນ	Ķīnietis	Cina	Chinese	chiński	chinês	Китайский	ชาวจีน	Çince	Китайський	中国人
language	english	English	Tiếng Anh	إنجليزي	Angličtina	Englisch	Αγγλικά	Inglés	Inglise	Englanti	Anglais	अंग्रेज़ी	Bahasa inggris	Inglese	英語	អាលេវីម	ಆಂಗ್ಲ	영어	ພາສາອັງກິດ	Angļu	Bahasa Inggeris	Engels	język angielski	Inglês	Английский	ภาษาอังกฤษ	İngilizce	Англійська мова	英语
language	vietnamese	Vietnamese	Tiếng Việt	الفيتنامي	vietnamština	Vietnamesisch	Βιετναμέζος	vietnamita	Vietnamlane	vietnam	vietnamien	वियतनामी	Orang Vietnam	vietnamita	ベトナム人	ជនជាតិវៀតណាម	ವಿಯೆಟ್ನಾಂ	베트남어	ໄທຍວນ	Vjetnamietis	Vietnam	Vietnamees	wietnamski	vietnamita	вьетнамский	เวียดนาม	Vietnam	В'єтнамський	越南人
language	languages	Languages	Ngôn ngữ	اللغات	Jazyky	Sprachen	Γλώσσες	Lenguas	Keeled	Kieli (kielet	Langues	बोली	Bahasa	Le lingue	言語	បដា	ಭಾಷೆಗಳ	언어	ພາສາ	Valodas	Bahasa	Talen	Języki	línguas	Языки	ภาษา	Diller	Мови	语言
ads	Unlimited	Unlimited	Vô hạn	غير محدود	Neomezený	Unbegrenzt	Απεριόριστος	Ilimitado	Piiramatu	Rajoittamaton	Illimité	असीमित	Tak terbatas	Illimitato	無制限	គ្មានដែនកំណត់	ಅನಿಯಮಿತ	제한 없는	ບໍ່ຈໍາກັດ	Neierobežots	Tidak terhad	Onbeperkt	Nieograniczony	Ilimitado	Неограниченный	ไม่ จำกัด	Sınırsız	Необмежений	无限
ads	Advertisements	Advertisements	Quảng cáo	الإعلانات	Reklamy	Anzeige	Διαφημίσεις	Anuncios	Reklaamid	Mainokset	Annonces	विज्ञापनों	Iklan	Annunci	広告	ការផ្សាយពាណិជ្ជកម្ម	ಜಾಹೀರಾತುಗಳು	광고	ການໂຄສະນາ	Sludinājumi	Iklan	Advertenties	Reklamy	Anúncios	Рекламные объявления	โฆษณา	Reklamlar	Реклама	广告
ads	NoAds	No Ads	Không quảng cáo	لا اعلانات	Žádné reklamy	Keine Werbung	Χωρίς διαφημίσεις	Sin anuncios	Reklaame pole	Ei mainoksia	Pas de pubs	विज्ञापन नहीं	Tanpa iklan	Nessuna pubblicità	広告なし	គ្មានការផ្សព្វផ្សាយពាណិជ្ជកម្ម	ಜಾಹೀರಾತುಗಳಿಲ್ಲ	광고 없음	ບໍ່ມີໂຄສະນາ	Nav reklāmu	Tiada iklan	Geen advertenties	Bez reklam	Sem anúncios	Без рекламы	ไม่มีโฆษณา	Reklamsız	Немає оголошень	无广告
register	agreeTerms	By tapping __ Continue ___, you will be charged, your subscription will auto-renew for the same package length until you cancel via App Store Settings, and you agree to our Terms.	Khi nhấn __ Tiếp tục ___, bạn đồng ý với Điều khoản của chúng tôi. Các gói đăng ký của bạn sẽ tự động gia hạn với cùng thời lượng gói cho đến khi bạn hủy thông qua cài đặt trên App Store.	من خلال النقر على __ متابعة ___ ، سيتم فرض رسوم عليك ، وسيتم تجديد الاشتراك الخاص بك تلقائيًا لنفس طول الحزمة حتى تقوم بالإلغاء عبر إعدادات متجر التطبيقات ، وتوافق على شروطنا.	Klepnutím na __ Pokračujte v ___, bude vám účtováno, vaše předplatné bude automaticky obnovit stejnou délku balíčku, dokud nezrušíte nastavení App Store, a souhlasíte s našimi podmínkami.	Wenn Sie __ fortsetzen ___, werden Sie berechnet, Ihr Abonnement wird automatisch für dieselbe Paketlänge nachverdünnt, bis Sie über App Store-Einstellungen stornieren, und Sie stimmen unseren Bedingungen zu.	Πατώντας __ Συνεχίστε ___, θα χρεωθείτε, η συνδρομή σας θα αναζωογονήσει αυτόματα για το ίδιο μήκος συσκευασίας μέχρι να ακυρώσετε μέσω των ρυθμίσεων αποθήκευσης εφαρμογών και συμφωνείτε με τους όρους μας.	Al tocar __ continuar ___, se le cobrará, su suscripción se renovará automáticamente para la misma duración del paquete hasta que cancele a través de la configuración de la tienda de aplicaciones, y acepta nuestros términos.	Koputades __ Jätka ___, võetakse teilt tasu, teie tellimus tühistab sama paketi pikkuse automaatselt, kuni tühistate App Store'i sätete kaudu, ja nõustute meie tingimustega.	Napauttamalla __ jatka ___, sinulta veloitetaan, tilauksesi uusii uudelleen saman paketin pituuden, kunnes peruutat App Store -asetusten kautta, ja hyväksyt ehdot.	En appuyant sur __ Continuer ___, vous serez facturé, votre abonnement sera automatiquement renouvelé pour la même longueur de package jusqu'à ce que vous annulez via les paramètres de l'App Store et vous acceptez nos conditions.	__ को जारी रखने से ___, आपको चार्ज किया जाएगा, आपकी सदस्यता एक ही पैकेज की लंबाई के लिए ऑटो-रेन्यू होगी जब तक कि आप ऐप स्टोर सेटिंग्स के माध्यम से रद्द नहीं करते हैं, और आप हमारी शर्तों से सहमत हैं।	Dengan mengetuk __ Lanjutkan ___, Anda akan dikenakan biaya, langganan Anda akan memperbarui secara otomatis untuk panjang paket yang sama sampai Anda membatalkan melalui pengaturan App Store, dan Anda menyetujui persyaratan kami.	Toccando __ Continua ___, ti verrà addebitato, l'abbonamento verrà auto-rinnovato per la stessa durata del pacchetto fino a quando non si annulla le impostazioni dell'App Store e accetta i nostri termini.	__続行___をタップすることにより、充電されます。サブスクリプションは、App Storeの設定を介してキャンセルするまで、同じパッケージの長さに対して自動レネーになり、条件に同意します。	តាមរយៈការប៉ះ __ បន្ត ___ អ្នកនឹងត្រូវបានគិតប្រាក់ការជាវរបស់អ្នកនឹងបន្តជាការសរសេរឡើងវិញដោយស្វ័យប្រវត្តិសម្រាប់ប្រវែងកញ្ចប់ដដែលរហូតដល់អ្នកបោះបង់ការកំណត់ App Store ហើយអ្នកយល់ព្រមនឹងលក្ខខណ្ឌរបស់យើង។	__ ಮುಂದುವರಿಸಿ ___ ಮುಂದುವರಿಸಿ, ನಿಮಗೆ ಶುಲ್ಕ ವಿಧಿಸಲಾಗುತ್ತದೆ, ನಿಮ್ಮ ಚಂದಾದಾರಿಕೆ ನೀವು ಆಪ್ ಸ್ಟೋರ್ ಸೆಟ್ಟಿಂಗ್‌ಗಳ ಮೂಲಕ ರದ್ದುಗೊಳಿಸುವವರೆಗೆ ಅದೇ ಪ್ಯಾಕೇಜ್ ಉದ್ದಕ್ಕೆ ಸ್ವಯಂಚಾಲಿತವಾಗಿ ನವೀಕರಿಸುತ್ತದೆ ಮತ್ತು ನಮ್ಮ ನಿಯಮಗಳನ್ನು ನೀವು ಒಪ್ಪುತ್ತೀರಿ.	__ 계속 ___를 탭하면 요금이 청구되며, 구독은 App Store 설정을 통해 취소 할 때까지 동일한 패키지 길이에 대한 자동 갱신이됩니다.이 약관에 동의합니다.	ໂດຍການແຕະ __ ສືບຕໍ່ __ ___, ທ່ານຈະຖືກຄິດຄ່າທໍານຽມ, ການສະຫມັກໃຊ້ຄວາມຍາວຂອງຊຸດດຽວກັນຈົນກວ່າທ່ານຈະເຫັນດີກັບຂໍ້ກໍານົດຂອງພວກເຮົາ.	Pieskaroties __ turpināt ___, jums tiks iekasēta maksa, jūsu abonements automātiski atjaunos tādu pašu paketes garumu, līdz jūs atcelsit, izmantojot App Store iestatījumus, un jūs piekrītat mūsu noteikumiem.	Dengan mengetuk __ Teruskan ___, anda akan dikenakan bayaran, langganan anda akan diperbaharui secara automatik untuk panjang pakej yang sama sehingga anda membatalkan melalui tetapan App Store, dan anda bersetuju dengan terma kami.	Door op __ doorgaan ___ te tikken, wordt u in rekening gebracht, uw abonnement wordt automatisch vernieuwd voor dezelfde pakketlengte totdat u annuleert via App Store-instellingen en u akkoord gaat met onze voorwaarden.	Stukając __ Kontynuuj ___, zostaniesz obciążony, Twoja subskrypcja będzie automatycznie reniw dla tej samej długości pakietu, dopóki nie anulujesz za pośrednictwem ustawień App Store i zgodzisz się na nasze warunki.	Ao tocar __ Continue ___, você será cobrado, sua assinatura será renovada automaticamente pelo mesmo comprimento do pacote até que você cancelasse através das configurações da App Store e você concorda com nossos termos.	Поступив __ Продолжить ___, вы будете взиматься, ваша подписка будет автоматически продлеваться по той же длине пакета, пока вы не отмените настройки приложений, и вы соглашаетесь с нашими условиями.	โดยการแตะ __ ดำเนินการต่อ ___ คุณจะถูกเรียกเก็บเงินการสมัครสมาชิกของคุณจะต่ออายุอัตโนมัติสำหรับความยาวแพ็คเกจเดียวกันจนกว่าคุณจะยกเลิกผ่านการตั้งค่า App Store และคุณยอมรับข้อกำหนดของเรา	__ Devam ederek ___ devam edin, tahsil edileceksiniz, aboneliğiniz App Store ayarları aracılığıyla iptal edene kadar aynı paket uzunluğu için otomatik olarak yenilenecek ve şartlarımızı kabul edersiniz.	Накладаючи __ Продовжити ___, з вами стягуватиметься стягнуто, ваша підписка буде автоматично відновити на ту саму довжину пакету, поки ви не скасуєте через налаштування App Store, і ви погоджуєтесь з нашими умовами.	通过点击__继续___，您将被收取费用，您的订阅将自动续订相同的软件包长度，直到您通过App Store设置取消，并同意我们的条款。
settings_actions	restorePurchase	Restore Purchase	Khôi phục mua hàng	استعادة شراء	Obnovit nákup	Kauf wiederherstellen	Επαναφορά αγοράς	Compra de restauración	Ostu taastamine	Palauta osto	Restaurer l'achat	पुनःस्थापन क्रय	Kembalikan pembelian	Ripristinare acquisto	購入商品を復元する	ស្តា​រ​ការ​ទិញ	ಖರೀದಿಯನ್ನು ಮರುಸ್ಥಾಪಿಸಿ	구매를 복원하십시오	ຟື້ນຟູການຊື້	Atjaunot pirkumu	Memulihkan pembelian	Herstel aankoop	Przywróć zakup	Restaurar compra	Восстановить покупку	กู้คืนการซื้อ	Satın Alma Geri Yükle	Відновити придбання	恢复购买
settings_actions	feedback	Feedback	Phản hồi	تعليق	Zpětná vazba	Rückmeldung	Ανατροφοδότηση	Comentario	Tagasiside	Palaute	Retour	प्रतिक्रिया	Masukan	Feedback	フィードバック	មតិប្រតិកម្ម	ಪ್ರತಿಕ್ರಿಯೆ	피드백	ຄໍາຕິຊົມ	Atsauksmes	Maklum balas	Feedback	Informacja zwrotna	Opinião	Обратная связь	ข้อเสนอแนะ	Geri bildirim	Зворотний зв'язок	反馈
settings_actions	shareApp	Share	Chia sẻ	يشارك	Podíl	Aktie	Μερίδιο	Compartir	Osakaal	Jaa	Partager	शेयर करना	Membagikan	Condividere	共有	ការរមលេក	ಹಂಚು	공유하다	ສ່ວນ	Akcija	Berkongsi	Deel	Udział	Compartilhar	Делиться	แบ่งปัน	Paylaşmak	Розподіляти	分享
settings_actions	rateAndReview	Rate ______ Review	Nhận xét ______ Đánh giá	مراجعة معدل	Sazba a recenze	Rate ______ Review	Βαθμολογία ______ κριτική	Revisión de tasas	Hindama ja ülevaade	Arviointi ja arviointi	Tarif et examen	दर और समीक्षा	Nilai ______ Ulasan	Tariffa e revisione	レートとレビュー	អត្រានិងការត្រួតពិនិត្យ	ದರ ಮತ್ತು ವಿಮರ್ಶೆ	속도 및 검토	ອັດຕາແລະການທົບທວນ	Likme un pārskats	Kadar ______ Kajian	Tarief ______ beoordeling	Stawka i przegląd	Taxa e revisão	Скорость и обзор	ให้คะแนนและทบทวน	Oran incelemesi	Цінність та огляд	费率和评论
settings_actions	term	Terms and Conditions	Các điều khoản và điều kiện	الأحكام والشروط	Pravidla a podmínky	Geschäftsbedingungen	Οροι και Προϋποθέσεις	Términos y condiciones	Tingimused	Käyttöehdot	Termes et conditions	नियम और शर्तें	syarat dan Ketentuan	Termini e Condizioni	利用規約	ល័ក្ខខ័ណ្ឌ	ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳು	이용 약관	ຂໍ້ກໍານົດແລະເງື່ອນໄຂ	Noteikumi un nosacījumi	Terma dan syarat	Voorwaarden	Regulamin	Termos e Condições	Условия и положения	ข้อกำหนดและเงื่อนไข	Şartlar ve koşullar	Правила та умови	条款和条件
settings_actions	policy	Privacy Policy	Chính sách bảo mật	سياسة الخصوصية	Zásady ochrany osobních údajů	Datenschutzrichtlinie	Πολιτική απορρήτου	política de privacidad	Privaatsuspoliitika	Tietosuojakäytäntö	politique de confidentialité	गोपनीयता नीति	Kebijakan pribadi	politica sulla riservatezza	プライバシーポリシー	គោលការណ៍​ភាព​ឯកជន	ಗೌಪ್ಯತಾ ನೀತಿ	개인 정보 정책	ນະໂຍບາຍຄວາມເປັນສ່ວນຕົວ	Privātuma politika	Dasar Privasi	Privacybeleid	Polityka prywatności	política de Privacidade	политика конфиденциальности	นโยบายความเป็นส่วนตัว	Gizlilik Politikası	Політика конфіденційності	隐私政策
